country,sheng,shi,qu,status,note,current_name
中国,广东省,东莞市,东莞港,地点名称,原版本收录的农场或园区地点名，不作为现行行政区划；具体镇街归属需另行核验。,
中国,广东省,东莞市,东莞生态园,地点名称,原版本收录的农场或园区地点名，不作为现行行政区划；具体镇街归属需另行核验。,
中国,广东省,东莞市,松山湖,地点名称,原版本收录的农场或园区地点名，不作为现行行政区划；具体镇街归属需另行核验。,
中国,广东省,中山市,南朗镇,历史名称,2021年撤镇设街道，现行名称为南朗街道；保留原输入名称。,南朗街道
中国,广东省,中山市,民众镇,历史名称,2021年撤镇设街道，现行名称为民众街道；保留原输入名称。,民众街道
中国,海南省,儋州市,国营蓝洋农场,地点名称,原版本收录的农场或园区地点名，不作为现行行政区划；具体镇街归属需另行核验。,
中国,海南省,儋州市,洋浦经济开发区,地点名称,原版本收录的农场或园区地点名，不作为现行行政区划；具体镇街归属需另行核验。,
中国,甘肃省,嘉峪关市,镜铁区,历史管理名称,嘉峪关旧管理区域名称，不是现行县级行政区；现行镇街归属需结合具体地址核验。,
中国,甘肃省,嘉峪关市,长城区,历史管理名称,嘉峪关旧管理区域名称，不是现行县级行政区；现行镇街归属需结合具体地址核验。,
中国,甘肃省,嘉峪关市,雄关区,历史管理名称,嘉峪关旧管理区域名称，不是现行县级行政区；现行镇街归属需结合具体地址核验。,
中国,重庆市,重庆市,江北区,历史名称,重庆2025年行政区划调整涉及两江新区和北碚区；请结合具体镇街确认现行归属。,
中国,重庆市,重庆市,渝北区,历史名称,重庆2025年行政区划调整涉及两江新区和北碚区；请结合具体镇街确认现行归属。,
中国,甘肃省,嘉峪关市,第一街道,待核验,上游名称与嘉峪关市政府公布的两街道三镇名单不一致；不能确认为现行街道。,
中国,江苏省,南京市,大厂区,历史名称,2002年原大厂区与六合县合并设立六合区；保留旧名称，具体边界请另行核验。,六合区
中国,福建省,三明市,梅列区,历史名称,2021年原梅列区与原三元区合并设立新的三元区；保留旧名称。,三元区
